group	Bacteroidota	Actinobacteriota	Proteobacteria		Bacteroidota	Firmicutes_A	Actinobacteriota	Proteobacteria	Firmicutes_C	Verrucomicrobiota	Firmicutes	Methanobacteriota	Desulfobacterota	
Healthy	78.2146	0	0		78.2146	14.71251	0	0	0.39408	0	0.43276	0	0	
Healthy	64.69453	1.54149	2.03249		64.69453	24.74316	1.54149	2.03249	0	0	0.50608	0	0.03475	
Healthy	79.61067	0	2.81094		79.61067	12.34864	0	2.81094	0	0	0.10057	0	0.04609	
Healthy	46.96026	0.05685	0.3539		46.96026	33.81771	0.05685	0.3539	6.72967	0.6796	0.75909	0.18105	0	
Healthy	33.30529	0.78507	1.51551		33.30529	26.33504	0.78507	1.51551	0.28046	0	0.20791	0	0	
Healthy	69.58044	0.26379	0.0624		69.58044	6.24266	0.26379	0.0624	0	0	0.56566	0.02876	1.64987	
Healthy	77.68829	0.1483	0.11479		77.68829	9.09499	0.1483	0.11479	0	0	0.05386	0	0.00154	
D013167	64.13592	0.46448	0.16883		64.13592	20.93631	0.46448	0.16883	0.21476	0	0.07833	0	0.03722	
Healthy	61.68826	0.00498	0.39111		61.68826	26.7119	0.00498	0.39111	0.01957	0.6598	0.0161	0	0	
Healthy	56.32307	13.75789	0.13998		56.32307	11.93575	13.75789	0.13998	0.00213	0	0.30101	0.1953	0.11107	
Healthy	54.50758	0.28703	0.33854		54.50758	33.61109	0.28703	0.33854	1.89045	0	0.31688	0	0	
Healthy	43.3074	0.06576	0.11856		43.3074	4.84264	0.06576	0.11856	0	0	0.02025	0	0.03259	
Healthy	72.56282	0	2.63869		72.56282	3.38635	0	2.63869	0	0	0	0	0.05179	
Healthy	22.69552	3.41848	0		22.69552	10.37827	3.41848	0	0.31288	0	0	0	0	
Healthy	19.20653	2.23707	0.95059		19.20653	58.83414	2.23707	0.95059	1.84595	0	12.89759	1.04804	0	
Healthy	61.23649	0.16171	5.19171		61.23649	24.96509	0.16171	5.19171	0.00798	0	0.09399	0	0.14748	
Healthy	61.52382	0.19611	5.3096		61.52382	24.80483	0.19611	5.3096	0	0	0.10133	0	0.14814	
Healthy	61.23341	0.04168	7.97298		61.23341	3.52411	0.04168	7.97298	9.44246	0.79293	0	0	0.33399	
Healthy	60.29015	0.73847	3.1175		60.29015	13.98414	0.73847	3.1175	0.42706	5.96611	0.55573	0	0	
D013167	57.43887	1.04326	0.12051		57.43887	28.96594	1.04326	0.12051	0.41832	0	0.18281	0	0.0135	
Healthy	60.90446	0.55301	2.72043		60.90446	5.9238	0.55301	2.72043	0.23887	0.05654	0	0	0	
Healthy	38.99953	0	3.05793		38.99953	15.72849	0	3.05793	0.56786	0	9.84039	0	0	
Healthy	16.03709	1.21596	0.18887		16.03709	70.28277	1.21596	0.18887	0	0	0.58813	0	0	
Healthy	72.96854	0	0		72.96854	3.65261	0	0	10.1396	0	0	0	0	
Healthy	63.08919	0.13837	5.14275		63.08919	25.44041	0.13837	5.14275	0.00816	0	0.09355	0	0.20481	
Healthy	86.49669	0.21558	1.86417		86.49669	7.55228	0.21558	1.86417	0	0	0.11772	0	0.10238	
Healthy	62.46336	0.4813	0.00362		62.46336	29.03576	0.4813	0.00362	0.21553	0.69377	0.06962	0	0.01272	
Healthy	50.72942	1.64071	0.14916		50.72942	7.17953	1.64071	0.14916	0	12.3504	0.00781	0	0.97352	
Healthy	65.12554	0	11.30199		65.12554	9.58365	0	11.30199	0.29827	5.12023	0	0.54418	0.06167	
Healthy	45.519	1.84409	0.50545		45.519	6.585	1.84409	0.50545	3.06797	0.14545	0.60805	0	0.65801	
Healthy	38.42566	0	0.16798		38.42566	38.41428	0	0.16798	9.7945	0	0.52997	0	0.06499	
Healthy	57.43447	0	6.45037		57.43447	24.69864	0	6.45037	1.68323	1.67518	0.01933	0.24888	0.05635	
Healthy	25.9085	0	0		25.9085	74.09152	0	0	0	0	0	0	0	
Healthy	60.72875	3.76883	0.31618		60.72875	10.21693	3.76883	0.31618	7.60652	0.87803	0.1473	0.94585	0.37818	
Healthy	39.65412	4.62219	0.86213		39.65412	33.94672	4.62219	0.86213	10.00857	0	0.32918	0	0.24869	
Healthy	68.11255	0.15458	0.77609		68.11255	2.18556	0.15458	0.77609	10.51246	0	0	0	0	
Healthy	51.31828	0.24924	0.23275		51.31828	35.94869	0.24924	0.23275	0.00199	0.00032	0.06123	0	0.24608	
Healthy	61.20586	0	0.03347		61.20586	24.05884	0	0.03347	0	0	0.04515	0	0	
Healthy	26.18248	2.04517	2.13931		26.18248	44.31122	2.04517	2.13931	3.84904	1.83282	1.51245	0	0	
Healthy	60.2623	0.84066	3.11694		60.2623	13.84086	0.84066	3.11694	0.34639	5.82674	0.42758	0	0	
Healthy	60.18214	1.50592	2.40753		60.18214	28.15127	1.50592	2.40753	0	0	0.18432	0	0	
Healthy	11.533	0	0		11.533	58.24151	0	0	0.13631	0	7.68274	0.64383	0	
Healthy	42.72847	0.23969	0.38855		42.72847	38.30841	0.23969	0.38855	0.03605	0	0.06627	0	0	
Healthy	74.81172	3.26436	0.10798		74.81172	9.83535	3.26436	0.10798	0	0	0.27666	0	0.01841	
Healthy	13.58487	1.52105	10.57963		13.58487	7.13475	1.52105	10.57963	2.79994	43.4724	0.13948	0	0.71462	
Healthy	71.38515	0.62671	2.92244		71.38515	10.51281	0.62671	2.92244	0.03338	0.03469	0.00218	0	0.01487	
Healthy	28.00834	0.20475	0.22162		28.00834	54.55004	0.20475	0.22162	2.57515	0	4.25925	0	0	
Healthy	44.18307	4.23432	0.66783		44.18307	40.72084	4.23432	0.66783	0.05867	0	0.81475	0	0.00464	
Healthy	33.10014	1.97711	0.78459		33.10014	38.36376	1.97711	0.78459	2.65775	0.63493	7.38281	0.68638	0.08871	
Healthy	85.82224	1.31334	0.64721		85.82224	10.06503	1.31334	0.64721	0.35834	0.03989	0.51968	0	0	
Healthy	33.90315	1.93435	0.47933		33.90315	55.60858	1.93435	0.47933	0.04909	0	0.2306	0	0.00376	
Healthy	70.51977	0.10602	0.83322		70.51977	16.2861	0.10602	0.83322	3.62986	0.04755	2.01783	0	0.0186	
D013167	53.72302	0.56479	1.83951		53.72302	35.92603	0.56479	1.83951	0.15644	0	0.54045	0	0	
