g	Streptococcus	Ruminococcus_C	Clostridium_A	Muricomes	Anaerotruncus	Bilophila	Adlercreutzia	Gordonibacter	Eggerthella	Rothia	Dialister	Methanobrevibacter_A	Sutterella	Phascolarctobacterium	Desulfovibrio
Healthy	-0.147148087521985	-5	-5	-5	-5	-5	-2.41566877563247	-5	-5	-2.2335871528876	-5	-0.683463552596444	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-1.5632014897682	-5	-5	-0.444675762776652	-5	-5	-5	-5	-5	-5	-5	0.388704955700738	-5	-5	-5
Healthy	-1.30944953848964	-5	-5	-5	-5	0.0853084206935297	-5	-5	-5	-5	-5	-2.08301995267962	0.476666455108599	-5	-5
Healthy	-0.663800520533368	-5	-5	-5	-5	-5	-5	-5	-5	-5	-0.436803791284812	-0.672252928747544	-1.50445566245355	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	1.00715053256939	-5	-5	-5	-5
Healthy	-1.52592949678496	-5	-5	-5	-5	-5	-5	-5	-2.14874165128092	-5	-0.669708008531844	-5	-5	-3.79588001734407	-5
Healthy	0.0996150431891222	0.245927023908369	-0.469966877344853	-1.66534523311676	-1.55767704425443	-1.40660315769979	-0.680498360943506	-1.41566877563247	-2.73518217699046	-1.87745647593125	-5	-5	-5	-5	-5
Healthy	-5	-1.47108329972235	-5	-5	-5	-1.82073553566097	-5	-5	-5	-5	-5	-5	-0.13542959314657	-5	-5
Healthy	-0.303809671082059	-0.516084788333592	-1.9515581964496	-5	-5	-5	-5	-5	-5	-2.99139982823808	-5	-5	-2.13846558914096	-5	-5
Healthy	-1.28083450591079	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-1.04604711676808	-0.0562186872401727	-0.571930030880937
Healthy	0.910419480528486	-5	-1.74617756129193	-1.93367407463796	-5	-5	-1.94195376960472	-5	-5	-1.68193666503724	-5	-0.110003981627335	-0.689094370623858	-5	-1.26161587648784
Healthy	-5	-5	-5	-5	-5	-5	-0.0478762167983943	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-1.43782613663535	-5	-0.976912233004555	-5	-2.23882418684427	-2.79317412396815	-5	-5	-5	-5	-5	-5	-1.20300960945431	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-1.21020783226932	-5	-5	-5	-5	-5	-0.024618747230027	-5	-0.388223603002689
Healthy	-1.71489297043319	-5	-1.0584885673656	-1.30198649606082	-5	-1.15218065270476	-1.64474009447262	-1.33142773081544	-3.22184874961636	-2.00744648216786	-5	-1.12389767862221	-1.5320960534772	-5	-0.939075630310519
Healthy	-0.68103977147246	-5	-0.405994398211659	-5	-0.471211808225104	-2.59516628338006	-5	-5	-5	-5	0.551957191873646	-5	-5	-5	-5
Healthy	-1.1332992439575	-5	-1.38806437495988	-5	-5	-1.41668784801692	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-2.19586056766465	-5	-5	-5	-1.36997914888659	-5	-1.52042468982501	-5	-5	-5	-0.450800491029208	-0.75340295089363	0.141995042796427	-5	-5
Healthy	-1.83445892327763	-5	-1.39179499229567	-0.990591600848133	-5	-1.74136271727592	-1.31104653736258	-1.99353395775077	-5	-3.431798275933	0.307275625677615	0.488614163981458	-5	-5	-5
Healthy	-5	-1.74738965943263	-5	-5	-5	-1.54683460747414	-5	-5	-5	-5	-5	-5	-0.158934747925002	-5	-5
Healthy	-1.00484762310855	-3.38721614328026	-1.01050568722729	-5	-5	-2.0783135245164	-5	-5	-5	-5	-5	-5	-0.066446914941578	1.35265920825441	-0.441495427818052
Healthy	0.206707170635319	-5	-3.22914798835786	-5	-5	-5	-5	-5	-5	-5	-5	0.199974462530491	-5	0.167656956106924	-5
Healthy	-5	-0.948731681129615	-5	-5	-5	-1.26696331706642	-5	-5	-5	-5	-5	-0.367390883139056	0.140316307786721	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-1.41128022039994	-5	-5	-5	-5	-5	-0.244300421325839	-5	-1.45892023222337
Healthy	-1.00859669741996	-5	-1.36051351073141	-5	-5	-1.45370416487856	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-0.186212253759775	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.822292332603058	-0.742177483965524	-5	-5	-5
Healthy	-1.50501102631683	-1.20844969497267	-1.85886390987926	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.10356770156495	-5	-5
Healthy	-5	-5	-1.13041629228658	-5	-5	0.163620482155513	-5	-5	-5	-5	-5	-1.54106013810967	-5	-5	-5
