group	Bacteroidales	Enterobacterales	Lactobacillales	Pseudomonadales	Erysipelotrichales	Desulfovibrionales	Peptostreptococcales		Bacteroidales	Oscillospirales	Actinomycetales	Veillonellales	Verrucomicrobiales	Burkholderiales	Methanobacteriales	Erysipelotrichales	Coriobacteriales	Peptostreptococcales
Healthy	58.29294	0.08584	0.04869	0	0.11387	0.02767	0		58.29294	13.93286	0	0.00282	0.95693	0.00077	0	0.11387	0.30291	0
Healthy	0.01473	4.27323	0.70038	0	0.29224	0	0.00065		0.01473	0.07505	73.11144	0.10549	0.00118	0	0	0.29224	3.87743	0.00065
D001943	20.06567	0.61143	0.49329	0.11802	0.03102	0.00035	0.03161		20.06567	4.20675	9.58643	0.00525	0.00583	5.21407	0	0.03102	0	0.03161
Healthy	64.8518	0	0	0	0	0.03927	0		64.8518	7.82781	0	0.20528	0.83121	0.01982	0	0	0.21615	0
Healthy	41.95701	0.04178	0	0	0	1.61864	0		41.95701	9.91116	2.71886	0	17.199	0.0632	0	0	0.14686	0
Healthy	1.9337	78.76377	0.10611	0.58176	0.01017	0	0		1.9337	0.59296	5.45435	0	3.52859	0.02799	0	0.01017	1.47704	0
Healthy	68.21432	0.12255	0	0	0	0	0		68.21432	2.61732	0	0.01109	0.39632	0.25346	0	0	0	0
Healthy	69.01303	0	0	0	0.27498	0	0		69.01303	2.64427	0.38768	6.30271	0	0.19767	0	0.27498	0	0
Healthy	63.27551	1.87079	0.1514	0	0.14607	0	0.25312		63.27551	8.24625	0.74589	0.008	0	0.17411	0	0.14607	0.01042	0.25312
Healthy	48.7416	0	0	0	0	0	0		48.7416	0	17.86819	0	0	0	0	0	2.77932	0
Healthy	50.98894	3.09305	0	0	0	0	0.16683		50.98894	9.74817	0.01296	7.88732	0	5.90439	0	0	0	0.16683
Healthy	28.85223	18.67253	0.36801	0.44225	0	0	0		28.85223	0.04218	5.48039	0.01348	0	5.67678	0	0	0	0
Healthy	18.80818	0	0.78156	0	11.3576	0	0		18.80818	37.18712	2.57185	0	0	0	0	11.3576	3.88243	0
Healthy	58.72881	1.10102	0.01145	0	0.04425	0.00203	0		58.72881	11.38529	1.45403	0.84416	0.64191	0.37347	0	0.04425	0.31875	0
Healthy	38.48591	3.29189	2.42421	0	0.24055	0	0.61698		38.48591	7.22016	3.33831	2.86633	3.66082	0	0	0.24055	0	0.61698
Healthy	7.42578	0	0.60443	0.06974	0.57473	0	0.01342		7.42578	35.45277	4.99535	1.99584	0	0	0	0.57473	0.21735	0.01342
Healthy	68.09654	0	0	0	0	0	0		68.09654	3.31872	0	0	0.06765	0	0	0	0.10638	0
Healthy	43.75014	0.06709	0.00195	0	0	0.04203	0		43.75014	13.42089	0	0	3.04604	8.78787	0.57278	0	0	0
