group	Enterocloster	Collinsella	Clostridium_A	Clostridium_Q	Faecalimonas	Ruminococcus_B	Longicatena	Muricomes	Anaerotruncus	Lactococcus	Ruminococcus_H	Roseburia	Coprococcus	Ruminiclostridium_E	Mediterraneibacter	Methanobrevibacter_A	Flavonifractor	Alistipes_A	Coprococcus_A	Adlercreutzia
Healthy	0	0.0603	0	0	0	0	0	0	0	0	0.35928	2.87248	2.16535	0	0.02481	0	0.16664	0.26179	0	0.06162
Healthy	1.15285	0.58354	0.08739	0.02058	0.01255	0.00957	0.02312	0.04988	0	0	3.5316	0.01342	1.70906	2.15465	0.17879	0.07517	0.02287	0.11803	0.12609	0.02265
Healthy	0.12766	0.13178	0.39264	0.44575	0	0.00801	0	0	0.33789	0	0	0.39841	0	0	0.14083	0	0.13158	0	0	0
Healthy	8.90162	0	0.04091	1.11267	0.05621	0.02072	0	0	0	0	0	0	0	0	1.25518	0	0.45575	0	0	0
Healthy	0	0.15204	0	0	0	0	0	0	0.04265	0	0.63795	0.8782	0	1.70561	0.17724	0.17643	0.16672	0.02118	0	0.03016
Healthy	0.70583	0.00031	0.04056	0.02463	0.89341	0.00157	0.08912	0.10218	0	0	2.58533	0.11259	0	5.67126	0.55596	3.08044	0.02925	0	0	0.04885
Healthy	0.05462	0.1128	0	0	0	0	0	0	0	0	1.97063	0.18489	0	0.01966	0.0681	0	0.00901	0.02461	0	0
Healthy	0.87992	0.29588	0.0976	0	0	0	0.00529	0	0	0	0	3.44526	1.56525	0.08752	0.02935	0	0.05635	0.89575	0.33369	0
Healthy	0.72787	0.03785	0.00058	0	0	0.037	0	0	0	0	0.66444	6.50516	0.21306	0	0.05952	1.58479	0.00715	0.04706	0.11822	0
Healthy	0.04296	1.00364	0	0	0	0	0	0	0	0	3.92368	0.66597	0	0.78614	0.81629	0.42914	0	0	0.16628	0
Healthy	0.10527	0	0	0	0	0	0	0	0	0	0	4.00427	0	0	0.92559	0	0	0	0	0
Healthy	0.17693	0.38453	0	0	0	0	0	0	0	0.40837	0	2.48605	5.74905	0	0.06038	0	0	0	0.35481	0.03878
Healthy	8.3973	0	0.04359	1.42773	0.05726	0.02249	0	0	0	0	0	0	0	0	1.4595	0	0.38809	0	0	0
Healthy	0.20308	0	0	0	0	0	0	0	0	0	4.73477	1.32258	0.12722	0.10309	0.78863	0.18105	0	0	0.13901	0
Healthy	0.26895	0.27859	0.01383	0	0	0	0	0	0	0	0.61035	1.2391	4.67539	1.35254	0.75001	0	0.00902	0.04851	0.07618	0
Healthy	0.65803	0.14886	0.07405	0	0	0	0	0	0	0	0.90059	0.10408	0	1.45629	0.17982	0.02876	0.37301	2.23811	0	0
Healthy	0.39428	0.05215	0.12658	0.049	0	0.08768	0	0	0.00373	0	0	0	0	0	0.08724	0	0.13614	0	0	0
Healthy	0.02566	0	0.00883	0	0	0	0	0	0	0.0161	0	10.47511	0	0.16851	0.02415	0	0.00925	0.06231	0.0096	0
Healthy	0.87453	1.20806	0.12458	0	0	0.02744	0.00486	0	0.03983	0	1.27973	0.50065	0	2.0176	0.24453	0.1953	0.17474	0	0	0.2947
