group	Anaerobutyricum_hallii_A	Enterocloster_aldenensis	Blautia_A_wexlerae	Dorea_formicigenerans	Anaerostipes_hadrus_A	Anaerostipes_hadrus	Blautia_A_hydrogenotrophica	Streptococcus_sp004166885	Gordonibacter_pamelaeae	Longicatena_innocuum	Alistipes_putredinis	Akkermansia_muciniphila_D	Dialister_invisus	Bifidobacterium_adolescentis	Ruminiclostridium_E_siraeum	Alistipes_shahii	Sutterella_wadsworthensis_A	Odoribacter_splanchnicus	Parasutterella_excrementihominis	Flavonifractor_sp000508885
Healthy	0	0	0	0	0	0	0	0	0	0	15.4129	0	0	0	0	0	0.11326	0.67172	0	1.17769
Healthy	0	0.02608	0.0369	0.18785	0	0.081	0	0	0	0	14.0751	0	15.1182	0	0	0	0.2638	0.79281	0	0.10917
Healthy	0.9071	0.58052	0.57222	0.16507	0.48382	0.02282	0	0	0	0	4.23585	1.05654	0	0.27054	0.01221	0.2255	0.51581	0	0	0.00252
Healthy	0.22621	0.47482	0.1772	0.09942	0.05161	0.03739	0	0	0	0	0.43198	0.01073	0	0.01689	0	0.3427	0.11734	0	0	0
Healthy	0.02999	0.04264	0.03083	0	0	0	0	0	0	0	12.6468	0.14766	2.88164	3.57742	1.18221	1.68427	0	0.77438	0.23778	0
Healthy	0	0	0.00565	0.06279	0	0.00253	0	0	0	0	1.60992	0.83505	0	0	0	3.13785	1.5313	0.14977	0	0.01706
Healthy	0.42331	0.08359	0.29976	0.27478	0.00725	0.00428	0	0	0.00348	0.01801	3.83116	0.00071	0	0	0.01813	0	0	0.67975	0	0.00382
Healthy	0.4936	0.30085	0.13302	0.1677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04874	0
D003093	0.56964	0.1424	1.37988	0.08497	0.19801	0.08912	0	0	0	0	0	0	0.52019	3.05261	0	0.80996	0	0	0.02804	0
Healthy	0.32437	0.30949	0.42806	0.51624	0.22523	0.09527	0	0.04292	0	0	13.3171	0	0	0.00664	0.01772	3.17211	0.46186	0.7634	0	0
