group	Streptococcus	Ruminococcus_B	Clostridium_Q	Longicatena	Muricomes	Eisenbergiella	Schaedlerella	Erysipelatoclostridium	Gordonibacter	Eggerthella	Prevotella	Ruminococcus_H	Barnesiella	Mediterraneibacter	Anaerobutyricum	Blautia_A	Parasutterella	Clostridium_Q	Muricomes	Anaerotruncus
Healthy	0	0.03057	0.00845	0.00069	0.00592	0.00771	0.10237	0	0.01123	0.02293	0	0	0	0.02141	0.03732	0.02943	0.00056	0.00845	0.00592	0.01138
Healthy	0.00532	0.0105	0	0	0	0	0	0	0	0.0026	0	0	0	0	0	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	2.12059	0	0	3.4149	0	0	0	0	0	0
Healthy	0.7126	0	0	0	0	0	0	0	0	0	6.79792	0.24502	1.3095	9.01518	0.26443	0.34818	0.06954	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	1.96572	0.78884	0.55036	0.17258	0.18999	0	0	0	0
Healthy	0.02733	0	0	0	0.35918	0	0	0	0	0	0	2.58388	0.42416	0.25141	2.54507	0.60366	0	0	0.35918	0
Healthy	0.04903	0	0	0	0	0	0	0	0	0	31.28285	1.49656	1.96991	0.40435	0	0.02905	0	0	0	0
Healthy	0.21686	0	0	0	0	0	0	0	0	0	0	0	1.05127	0.49241	0.60179	0.29519	0.00138	0	0	0
D015212	0.38995	7.44021	0.99497	0.78154	0.52069	0	0.45163	0.24585	0	0.00582	0	0	0	2.90281	0	0.04825	0	0.99497	0.52069	0.19867
Healthy	0	0.27628	0	0	0	0	0	0	0	0	0	0	0	0.20743	0	0	0	0	0	0
Healthy	0.02978	0.00977	0.00971	0.00029	0	0	0.00117	0.02077	0	0.00709	0.0586	0	0	1.37903	0.45317	0.4357	0	0.00971	0	0
Healthy	1.2578	0.02066	0	0.03372	0.0216	0.00333	0	0	0.03839	0.00183	0	0	2.89475	1.21669	3.01429	0.71833	0	0	0.0216	0.02768
Healthy	0	0	0	0	0	0	0	0	0	0	0	2.00529	0	0.0538	0.0073	0	0.01241	0	0	0
Healthy	0.4968	0	0	0.00275	0	0	0	0	0	0	21.8334	0.00421	0.52702	0.10851	0.19956	0.38947	0	0	0	0
Healthy	0.05237	0	0	0	0	0	0	0	0	0	45.2425	0	0.79806	0.29819	0	0	0	0	0	0
Healthy	8.13615	0.27636	0	0.00088	0.01164	0.00039	0	0.05317	0	0	0	10.9777	0.83378	0.04036	0.16639	2.27022	0	0	0.01164	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	3.49728	0	2.97291	0	0	0	0	0	0
D015212	0.70757	0.00506	0.04814	0.00125	0	0	0.04445	0	0.00824	0	0	0	0	0.23313	1.46283	0.59654	0.07262	0.04814	0	0
Healthy	0.03648	0.08189	0.03226	0	0	0	0	0	0	0	0	0	2.03364	0.0859	0.01332	0.04375	0.00305	0.03226	0	0.00576
Healthy	0	0	0	0	0	0	0	0	0	0	0	0.35928	2.7135	0.02481	0.0201	0.04747	0.12849	0	0	0
Healthy	0.01927	0.00957	0.02058	0.02312	0.04988	0.03731	0	0	0.04661	0.00059	0.00981	3.5316	4.25885	0.17879	0.39557	0.06503	0.00271	0.02058	0.04988	0
Healthy	0.20842	0.00801	0.44575	0	0	0	0	0	0	0	0	0	0	0.14083	0.00928	0.01191	0.11966	0.44575	0	0.33789
Healthy	0.07356	0.02072	1.11267	0	0	0	0	0.01034	0	0	0	0	0	1.25518	0	0.06956	0.07877	1.11267	0	0
Healthy	0.00636	0	0	0	0	0	0	0	0	0	0	0.63795	5.56533	0.17724	0.04734	0.1027	0.00641	0	0	0.04265
Healthy	0.01463	0.00157	0.02463	0.08912	0.10218	0.33199	0.01332	0.15251	0.01014	0	0.00378	2.58533	8.0343	0.55596	0.01762	0.12309	0.01428	0.02463	0.10218	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	1.97063	0	0.0681	0.01828	0.00329	0.00873	0	0	0
Healthy	0.09888	0	0	0.00529	0	0	0	0	0	0	5.62755	0	7.4203	0.02935	0.6216	0.24514	0.00842	0	0	0
Healthy	1.60955	0.037	0	0	0	0	0	0	0	0	26.4025	0.66444	0.11893	0.05952	1.08564	0.57152	0.08336	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	3.92368	0.59791	0.81629	1.43622	0.50349	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	64.6746	0	0	0.92559	0	0.11172	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	19.2902	0	1.35529	0.06038	0.97938	0.66603	0	0	0	0
Healthy	0.09803	0.02249	1.42773	0	0	0	0	0.00254	0	0	0	0	0	1.4595	0	0.0708	0.06262	1.42773	0	0
Healthy	0.6513	0	0	0	0	0	0	0	0	0	0	4.73477	1.7098	0.78863	1.09596	0.65927	0	0	0	0
Healthy	0.03125	0	0	0	0	0	0	0	0	0	0	0.61035	3.28842	0.75001	0.12368	0.17479	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	33.229	0.90059	1.30868	0.17982	0	0	0.0624	0	0	0
Healthy	0.02956	0.08768	0.049	0	0	0	0	0	0	0	0	0	2.0715	0.08724	0.00512	0.04838	0.00294	0.049	0	0.00373
D015212	14.34527	0	0.00963	0.07584	0.00252	0.00306	0.0025	0	0.20499	0.05103	0	0	0	2.84455	0.11861	1.10701	0	0.00963	0.00252	0.00494
Healthy	0	0	0	0	0	0	0	0	0	0	1.63861	0	0	0.02415	0.01327	0.01696	0.04305	0	0	0
