group	Veillonella	Longicatena	Rothia		Prevotella	Akkermansia	Enterocloster	Methanobrevibacter_A	Collinsella	Anaerostipes	Clostridium_A	Intestinibacter	Parasutterella	Adlercreutzia
Healthy	0	0	0		0	0	2.25697	0.86242	0.10263	0	0	0.13799	0	0
Healthy	0	0	0		0	6.91086	0.28773	0	0.64819	0	0.03847	0	0.01398	0
Healthy	0	0	0		11.312	0.00242	0.12204	0	1.90188	1.69792	0	0	0	0
Healthy	0	0	0		11.7915	0	1.52891	0	0	0	0	0	0	0
Healthy	0	0	0		0	0.7359	0.14951	0	0.02511	0	0	0	0	0.05886
Healthy	0	0	0		0	0	0	0	0	0	0	0	0	0
Healthy	0	0.03583	0		0	0.39843	0.10203	0	0	0.08716	0.00312	0.03446	0	0
Healthy	0	0	0		0	0.0783	0.19807	0.64288	0	0	0	0	0.08668	0
Healthy	0	0	0		0	2.24224	0.61621	0.15967	0.47577	0	0	0	0	0
Healthy	0.03457	0.03083	0		0.64249	7.77762	0.2015	1.26732	0.82614	0.31322	0.29582	0.22496	0.01024	0.08199
Healthy	0	0	0		0	0	0.00775	0	0.19859	0	0	0	0	0.02655
Healthy	0	0	0		0	0	0	0	0.04907	0	0	0	0.39274	0
Healthy	0	0	0		0	0.39701	0.56861	0	0.15957	0.17909	0	0	0	0
Healthy	0.00247	0	0		0.50481	0.07548	0.43937	0.02199	0.39704	0.23471	0.01555	0	0	0.01291
Healthy	0.0372	0	0		40.8438	0.38122	0.9022	0	1.00861	0.07793	0.00754	0.05677	0.00215	0.21535
Healthy	0	0.04591	0		0	0.16296	0.10955	0	0.71707	0.00908	0.14437	0	0.00697	0
Healthy	0	0	0		0	0	0	0	0	0	0	0	0	0
Healthy	1.55929	0.00512	0.02738		0	4.30812	2.97462	0	0	0.36336	0	0.16076	0	0
Healthy	0	0	0		0	0.11184	0.19589	0	0	0.13828	0	0	0.01398	0
Healthy	0	0	0		0	2.78327	0.02424	0	0	0.01136	0	0	0.00676	0
