group	Phocaeicola_sp900554435	Phocaeicola_plebeius_B	Ruminococcus_B_gnavus	Bacteroides_intestinalis_A	Haemophilus_D_sp001815355	Bacteroides_nordii	Enterocloster_citroniae	Streptococcus_sp004166885	Streptococcus_pseudopneumoniae_O	Eggerthella_lenta	Dialister_invisus	Bifidobacterium_adolescentis	Ruminiclostridium_E_siraeum	Methanobrevibacter_A_smithii_A	Sutterella_wadsworthensis_A	Odoribacter_splanchnicus	Bacteroides_intestinalis_A	Streptococcus_thermophilus	Parasutterella_excrementihominis	Flavonifractor_sp000508885
Healthy	0	0	0.37323	3.47921	0.28217	0.01538	0.00087	0.06924	0.06103	0.00087	0	0.00889	2.3893	0.79412	0.21396	0.52544	3.47921	0.15397	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0.03315	9.23471	0	0	0	0	0	0
Healthy	0	0	0.01757	0	0	0	0	0	0	0.00142	0	0	0.07187	0	0	1.13762	0	0.0621	0.04026	0
Healthy	4.17569	0	0.1535	0	0	0	0	0	0	0.00547	0	0	0	0	0	4.36243	0	0	0	0
Healthy	0.18963	1.78435	0.17791	0	0.00258	0	0	0.01408	0	0	0	0	0.75835	0	0.30764	0.84118	0	0	0.00114	0.02112
Healthy	6.98125	0	0	0.00946	0.03965	0	0	0.00518	0	0	0	0.08269	0.0919	0.88267	0.37442	1.06521	0.00946	0.26971	0.02046	0
Healthy	0	0	0	0	0.74286	0.16847	0	0	0	0	0	0	0.06507	0	2.38969	0.7931	0	0.26448	0	0
Healthy	0	0	0	0	0.23479	0.02032	0	0	0	0	2.48965	0	0	0	0	1.45795	0	0	0.013	0
Healthy	0	0	0.00483	0	0	0	0	0	0	0.04941	4.71543	0	0.03796	0	0	0.52809	0	0.15685	0.18365	0.05684
Healthy	5.20955	0	0.05193	0	0	0.05399	0.02497	0	0.00315	0.00056	0.14204	0.00093	0.05591	0.00715	0	1.36225	0	0	0.00147	0.04945
Healthy	1.99673	0	0	0.09713	0	0	0	0	0	0	0	0.08805	0	0	0.08094	1.05331	0.09713	0	0	0
Healthy	0	0	0.01119	0	0	0	0	0	0	0	9.30256	0	2.67228	0	0	0	0	0	0.01997	0.08469
Healthy	1.76265	0	0.05435	1.06953	0.01462	0.02386	0	0	0	0	0.26986	1.85778	27.6619	0.05897	1.85847	1.54784	1.06953	0	0	0
Healthy	0	0	0.0266	0	0	0	0	0	0	0	0	0	0	1.97108	0	0	0	0	0	0
Healthy	0	0	0	0	0.24052	0	0	0	0	0	0	0	0.10538	0.25758	0	0	0	0	0	0
Healthy	0	0.02653	0.24991	0.26579	0	0.14425	0.08433	0	0	0.00763	0	0	0	0	0	0	0.26579	0	0.39081	0.23245
Healthy	0	0	0.01424	0	0	0	0	0	0	0	3.34381	0	0	0	0	0	0	0.21585	0.11156	0.17562
Healthy	0	0	0	0	0	0	0	0	0	0	0.00048	0.02015	0	0	0	0	0	0	0	0
Healthy	0	0	0.8125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0	9.67282	0	0	0.04188	0	0	0	0	0	1.41269	1.67753	0.61967	0	0	0	0	0	0.03569	0
Healthy	0	0	0.28342	2.82228	0	0	0	0.05522	0	0	0	0	2.96698	0.49771	0.26927	0	2.82228	0	0	0
Healthy	0	0	0	0	0.07776	0	0	0	0	0	0	0	2.4149	0	5.7003	0.9632	0	0	0	0
Healthy	0	0	0	0.03747	0	0	0	0	0	0	0	0	0	0	0	0	0.03747	0	0	0
D001943	0	0.00016	0.0055	0.26841	0	0	0	0	0	0	0	0.08853	0	0	0	0	0.26841	0	0.06646	0.07971
Healthy	0	0	0	0	0.06544	0	0	0	0	0	0	0	3.31537	0	7.09637	1.07873	0	0.00451	0	0
Healthy	0	0	0	0	0.1676	0	0	0.00657	0.00968	0	0	0.08528	0	0	0.83185	2.11166	0	0.6528	0.01552	0
Healthy	0	0	0.00935	0	0.02787	0	0	0	0	0	5.34871	0.15831	0	0	0	0.587	0	0	0	0.07704
Healthy	0.00279	0.0663	0.03273	0.00509	0	0	0.00638	0	0	0.00335	0	0.3402	0	0	0	0	0.00509	0	0.24481	0.00321
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.59178	0.79485	0	0	0.38392	0
Healthy	7.51156	0	0	0	0	0	0	0	0	0	4.62199	0	0.17968	0	6.27355	1.04245	0	0.5783	0.05957	0
Healthy	0	0	0	0	0	0	0	0	0.08848	0	0	0	0	0	0	0	0	0	0	0
Healthy	16.0873	15.8423	0.08233	0	0.00767	0	0.00427	0.00156	0	0	0	0	0.82189	0	0	1.41887	0	0	0.00077	0.0205
Healthy	0	0	12.7376	0	0	0	0.01348	0	0.03401	7e-05	0	0.00011	0.00263	0	0	0	0	0	0	0
D001943	0.00433	0	0.03246	0	0.17735	0	0	0	0.00343	0	0	0	0	0	5.20927	0	0	0.41346	0.0048	0
Healthy	0	0	0	0	0	0.05943	0	0	0	0	0.20528	0	0	0	0	0	0	0	0.01982	0
Healthy	0.2573	0	0	0	0	0	0	0	0	0	0	0	0.92377	0	0.03447	0	0	0	0.02873	0
Healthy	0	0	0.07356	0	0	0	0	0	0	0	0	4.33729	0	0	0	0	0	0.10271	0.02799	0.03246
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0.04141	0	0	0	0	0	0.25346	0
Healthy	0	0	1.68189	0	0	0	0	0	0	0	6.30271	0	0	0	0	0	0	0	0.19767	0
Healthy	0	0	0.09022	0	0.04462	0	0.01299	0.00344	0	0.01042	0	0	0	0	0	0	0	0	0.17411	0.04607
Healthy	0	0	2.69923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0	0	0.00665	0	0.62055	0	0.01122	0	0	0	5.07885	0	0	0	5.86197	0	0	0	0.04242	0.1339
Healthy	0.01083	0.00772	0.00084	0	0.00123	0	0	0.03279	0.00534	0	0	0	0	0	5.67678	0	0	0	0	0
Healthy	3.92234	0	0	0	0	0	0	0	0	0	0	1.84176	0.62242	0	0	0	0	0	0	0
Healthy	0	0	0	0	0.07592	0	0	0	0	0	0.80153	0.1646	0	0	0	0	0	0	0.37347	0.18989
Healthy	0	0	0.02697	0	3.13703	1.75054	0	0.23317	0	0	2.64985	0.03313	0.00235	0	0	0	0	0	0	0
Healthy	0	0	0.09717	0	0	0	0	0	0	0	1.99584	0	0	0	0	0	0	0.09817	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0.14519	0	0	0	0	0	0	0
Healthy	0.48798	1.30531	0	0	0.06709	0	0	0	0	0	0	0	0.66989	0.57278	8.71964	1.80602	0	0	0.00222	0
Healthy	0	0	2.17421	0	0	0	0.00577	0.01418	0.01744	0.03764	0	0	0	0	0	0	0	0.15562	0	0
Healthy	0	0	0	0	0.12678	0	0	0	0	0	0	0.18021	24.0999	0.1514	0.07063	0.70656	0	0	0	0
Healthy	5.17118	0	0	0	0	0	0	0	0.00171	0	0.03571	0	0	0	0	0.79541	0	0	0.0042	0.07836
D001943	0.01624	0.003	0.04448	0.38999	1.51646	0.0684	0.16775	0.00454	0.01949	0.0105	0	0	0	0	0	4.6429	0.38999	0	0	0.20271
D001943	6.10272	4.30068	0	0.10735	1.34019	0.00746	0.00546	0.00231	0	0	0	0.22058	8.02786	0	2.37449	0	0.10735	0	0.12109	0.02094
D001943	0.01317	0	0.00073	0.0027	0.03145	0.17035	0.76678	0.00314	0.00086	0.0019	0	0	0	0	0	1.33288	0.0027	0	0	0.03386
Healthy	0.66787	0	0	0	0	0	0	0	0	0	0.61502	0	0	0	0	0	0	0	0	0
