group	Bacteroidaceae	Ruminococcaceae	Enterobacteriaceae	Veillonellaceae	Pasteurellaceae	Peptostreptococcaceae	Lactobacillaceae	Eggerthellaceae	Erysipelatoclostridiaceae		Bacteroidaceae	Rikenellaceae	Tannerellaceae	Dialisteraceae	Burkholderiaceae	Methanobacteriaceae	Marinifilaceae	Oscillospiraceae	Veillonellaceae	Pasteurellaceae
Healthy	75.92255	2.57906	1.37665	0	0	0.0709	0	0.00026	0		75.92255	0.51449	0.08399	0	0	0	0	0.13021	0	0
Healthy	12.59197	8.38082	0.04487	0	0	0	0	0.09067	0		12.59197	23.13099	15.63019	0	0.39005	0	0.03503	0	0	0
Healthy	8.35651	13.61657	0.09805	0	0.06684	0.40841	0.38832	0.01448	0		8.35651	0.62661	1.50426	0	0.04103	1.70278	0.3186	0.01003	0	0.06684
Healthy	18.58788	10.38104	2.02806	0.1432	0.28217	0.06758	0	0.00696	0.04432		18.58788	3.03612	1.82479	0	0.21396	0.81474	0.52544	0.00713	0.1432	0.28217
Healthy	28.73911	24.40005	0	0	0	0	0	0	0		28.73911	0	0	0	0	9.23471	0	0	0	0
Healthy	11.97928	3.25541	0	0.0031	0	0	0	0.05899	0		11.97928	5.05123	1.31999	0	0.04026	0	1.13762	0.33959	0.0031	0
Healthy	50.14928	3.68747	0.04317	0	0	0	0	0.99055	0		50.14928	14.88692	2.36362	0	0	0	4.36243	0.00911	0	0
Healthy	54.18048	8.76363	8.48243	0.02726	0.00258	0.66049	0	0.02015	0		54.18048	4.6813	1.19501	0	0.30935	0	0.84118	0.03503	0.02726	0.00258
Healthy	27.32592	1.47463	0.03067	0	0.03965	0	0	0	0		27.32592	1.00068	2.10844	0	0.39488	0.89622	1.06521	0	0	0.03965
Healthy	40.19594	4.55272	0	0.13071	0.74286	0	0	0	0		40.19594	17.98824	1.85882	0	2.38969	0	0.7931	0.0685	0.13071	0.74286
Healthy	36.92951	4.26482	0.36631	0.20284	0.23479	0	0	0	0		36.92951	28.97505	5.22934	2.48965	0.013	0	2.06682	0	0.20284	0.23479
Healthy	19.86247	5.56639	0.47299	0.00186	0	0.14908	0.03492	0.05995	0		19.86247	1.52814	0.38155	4.71543	0.18365	0	0.52809	0.11883	0.00186	0
D001172	12.58533	0.13066	32.66054	0.00516	0	0	0	0	0		12.58533	0.09607	0.0694	0	0	0	0	0	0.00516	0
Healthy	29.16371	4.45408	2.12948	0.00824	0	0.13647	0.90454	0.29137	0		29.16371	8.8283	1.46835	0.14204	0.00433	0.00715	1.36225	0.13401	0.00824	0
Healthy	54.96992	3.14863	0	0	0	0	0	0	0		54.96992	9.86851	0.89272	0	0.08094	0	1.05331	1.2697	0	0
Healthy	50.26182	4.01289	1.06216	0	0	0	0	0.01047	0		50.26182	2.49326	1.75228	9.30256	0.2712	0	0	1.78574	0	0
Healthy	25.14316	38.17465	0	0.00209	0.01462	0	0	0.05276	0		25.14316	7.99269	1.40721	0.26986	1.85847	0.05897	1.54784	0.01682	0.00209	0.01462
Healthy	2.1963	22.10912	0	0	0	0.26971	0	0	1.12381		2.1963	0	0	0	0	2.07917	0	0	0	0
Healthy	40.07286	18.16738	0	0	0.24052	0.05592	0.21739	0	0.74543		40.07286	0	0	0	0	0.71531	0	0	0	0.24052
Healthy	53.10253	16.99815	0.02631	0	0	0.05482	0	0.06881	0.91977		53.10253	1.6101	2.47829	0	0.39081	0	0	0.27357	0	0
Healthy	85.81464	0.89925	0.42965	0.02362	0	0	0	0	0		85.81464	0	3.17839	3.34381	0.11156	0	0	0.20572	0.02362	0
Healthy	0.04254	0.02963	15.6337	0	0	0.04787	0	0	0		0.04254	0.00153	0.00463	0.00048	0	0	0	0	0	0
D001172	38.74159	14.08002	0.21652	0	0	0.00628	0	0.03942	0		38.74159	15.17024	4.0688	0	0.27939	0	0.94928	0.00832	0	0
Healthy	83.40261	0	1.31886	0	0	0	0	0	1.26078		83.40261	0.07741	2.44765	0	0	0	0	0	0	0
Healthy	51.51814	4.91281	0	0	0.04188	0.26029	0	0	0		51.51814	3.7531	0.27114	1.41269	0.03569	0	0	0	0	0.04188
Healthy	19.13218	18.05348	2.36877	0.06649	0	0	0	0	0		19.13218	5.56369	1.18699	0	0.26927	0.49771	0	0	0.06649	0
Healthy	62.86016	8.9483	0	0	0.07776	0	0	0.51129	0		62.86016	0.63812	5.80673	0	5.7003	0	0.9632	0.15639	0	0.07776
Healthy	54.9095	8.72924	0	0	0	0	0	0	0		54.9095	0.8505	0.06004	0	0	0	0	0	0	0
Healthy	49.18147	11.35242	0	0	0.06544	0	0	0.7355	0		49.18147	0.89891	6.68856	0	7.09637	0	1.07873	2.66772	0	0.06544
Healthy	47.44693	1.13101	0	0.08681	0.1676	0.02165	0	0	10.9273		47.44693	0.659	1.45644	0	0.84737	0	2.11166	0.01289	0.08681	0.1676
Healthy	37.50399	12.27917	0.04705	0.028	0.02787	0	0.0073	0.03641	0		37.50399	0.87139	0.00304	5.34871	0	0	0.587	0.09915	0.028	0.02787
Healthy	20.15201	22.0754	0.78469	0	0	0.06551	0	0.00335	0		20.15201	0.06141	0.76233	0	0.24481	0	0	0.00321	0	0
Healthy	31.8271	3.55185	0	0	0	0	0	0	0		31.8271	24.43499	6.3337	0	2.9757	0	0.79485	0.2508	0	0
Healthy	56.57897	4.86156	0	0	0	0	0	0	0		56.57897	2.45781	6.04427	4.62199	6.33312	0	1.04245	0.1223	0	0
