group	Firmicutes_A	Actinobacteriota	Firmicutes	Verrucomicrobiota	Methanobacteriota		Bacteroidota	Proteobacteria	Desulfobacterota	
Healthy	0.25032	7.18566	0.02015	0.00039	0		28.87276	55.0788	0	
Healthy	5.66429	0.7574	0.31315	7.01615	0		54.53618	1.25345	0.19078	
Healthy	2.50118	0.04952	0	0	0		79.23344	0.23517	0	
Healthy	19.70734	11.36341	1.18442	11.9695	0		38.75978	0.57325	0	
Healthy	53.46463	1.01021	2.36732	2.81759	0.20726		29.53286	0.98133	0	
Healthy	32.07313	24.21481	1.84987	4.32216	0		7.31188	3.81454	0.06318	
Healthy	15.15539	0.00433	0.73283	0	0		33.23081	35.06305	0	
Healthy	30.2978	0.13293	1.88666	0.49181	2.44739		41.87328	7.37478	0	
Healthy	10.91526	1.39204	0.22275	0	0.00825		69.54234	2.99685	1.21704	
Healthy	58.02649	0	0.34273	0	0.21268		28.72289	0.12406	0	
Healthy	60.703	0.04994	0.52646	1.23974	4.87042		18.12975	0.69686	0	
Healthy	8.96741	2.89663	0.01161	30.6252	0		36.17394	1.2838	0	
Healthy	2.41679	0.1845	0	0	0		65.70584	1.15581	0	
Healthy	22.65154	0	0.66552	0.57529	3.47638		45.01472	0.37923	0	
Healthy	78.95978	0.47748	0.05588	0	0		7.75441	0.05193	0	
Healthy	27.91566	0.05778	0.10023	0	0		63.99492	3.06927	0.55837	
Healthy	20.60257	3.89993	1.55892	0.00032	0		25.16801	33.33013	0.0392	
Healthy	10.73663	1.40481	0.2631	0	0.01845		70.46586	3.02483	1.4564	
Healthy	60.5632	0.81265	0.85433	0	0		15.74434	1.07871	0	
Healthy	5.56522	1.37412	0.00174	3.84496	0		75.927	0.7445	0.0151	
Healthy	0.00555	83.72196	2.30851	0	0		0.01052	6.77258	0	
Healthy	56.4659	2.6333	0.50095	0.79342	0		27.96087	1.15883	0	
Healthy	7.81577	0.34266	0.06045	10.3809	0		66.09812	0.11834	0.33033	
Healthy	46.58071	2.0746	8.3062	0	0.79834		25.51014	2.30696	0.07805	
Healthy	15.21916	2.19036	0.04718	0.1126	0		42.76044	1.28625	0	
Healthy	59.87065	1.79807	0	0	0		18.16758	0	0	
Healthy	20.89916	0	0	3.13991	0		69.40911	0.04987	0	
Healthy	13.54224	1.15572	0.01273	6.58545	0		36.09966	3.46633	0.07362	
Healthy	15.29239	0.04899	0.14904	0.70914	0		71.1126	0.80756	0	
Healthy	6.78869	0.14851	0.0204	0	0		20.00069	16.31031	0	
Healthy	8.67235	0.15624	0.07383	0	0		78.57875	0.16402	0.0016	
Healthy	34.30477	0.60859	0.6915	0	0.0691		49.82563	2.53961	0.01993	
D000236	48.4685	3.15295	0.39588	0	0		37.26717	2.63691	0	
