group	Lachnospiraceae	Ruminococcaceae	Streptococcaceae	Veillonellaceae	Lactobacillaceae	Pasteurellaceae	Oscillospiraceae	Eggerthellaceae	Erysipelatoclostridiaceae	Peptostreptococcaceae	Lachnospiraceae	Rikenellaceae	Acutalibacteraceae	Enterobacteriaceae	Barnesiellaceae	Burkholderiaceae	Streptococcaceae	Erysipelotrichaceae	Lactobacillaceae	Coprobacteraceae
Healthy	10.2726	8.27035	0.17892	0.05662	0	0	0.06439	0.11806	0	0	10.2726	0.92332	0	0.07952	0	0	0.17892	0	0	0
Healthy	6.52439	0.71987	0	0	0	0	0.07299	0	0.02407	0	6.52439	8.27981	5.52631	0.08088	2.67909	0.0234	0	0	0	0
Healthy	17.31738	17.86356	0.27012	0.0363	0	0.12773	0	0.00776	3.67433	0.25	17.31738	0.57703	0.00231	0.03375	3.83289	0.08772	0.27012	1.14247	0	0.00357
Healthy	0.38881	3.93808	0	0	0	0	0.10104	0.15215	0	0	0.38881	1.20878	1.98079	10.2181	0	0.28406	0	0.13551	0	0
Healthy	3.13409	3.3535	0.05589	0	0	0	1.33726	0	0	0	3.13409	9.70905	0	0	0.76415	0.09557	0.05589	0.0128	0	0.01321
Healthy	8.78889	17.47799	0.45117	0	0	0	0.05911	0.04004	0	0	8.78889	10.36282	0.07926	0.06381	1.78582	2.51045	0.45117	0.40667	0	0.02264
Healthy	1.4222	1.67666	0	0	0	0	0.00889	0.00233	0	0	1.4222	14.5598	0.17536	0.06157	0	0.11666	0	0.02247	0	0
Healthy	4.3198	1.132	0	0.02424	0	0	1.06876	0.02894	0	0.00258	4.3198	4.97954	4.53107	0	5.12769	0.27735	0	0.17455	0	0
Healthy	38.69933	3.44451	0.01403	0.00465	0	0.0175	0.08893	0.00077	3.85188	0	38.69933	1.25534	0.10581	0	0.39095	0.00491	0.01403	1.34329	0	0
Healthy	24.09166	18.91641	0	0	0	0	0	0	0	0.92052	24.09166	1.26871	11.7396	0	0	0	0	0	0	0
Healthy	37.42848	0.23802	0	0	0.00794	0	0	0	0.83359	0	37.42848	1.04566	3.13501	0	0.7484	0	0	1.12109	0.00794	0.49074
Healthy	14.87514	1.42733	0	0	0	0	0.04979	0.02643	0	0	14.87514	7.21136	0	0	2.78245	0.17416	0	0.04651	0	0
Healthy	0.64545	1.45529	0.01292	0	0	0	0.08548	0	0	0	0.64545	0	0	4.2841	0	0	0.01292	0	0	0
